timestamp_ms,iso,currentTime_s,duration_s,paused,playbackRate,readyState,videoWidth,videoHeight,totalVideoFrames,droppedVideoFrames,buffered_start_s,buffered_end_s,buffered_seconds,debug_text
"1765426754259","2025-12-11T04:19:14.259Z","42.983262","3152.524375","false","1","4","608","342","1036","0","27.485791","76.618208","33.63494599999999",
"1765426755258","2025-12-11T04:19:15.258Z","43.98224","3152.524375","false","1","4","608","342","1060","0","27.485791","76.618208","32.635968",
"1765426756259","2025-12-11T04:19:16.259Z","44.982927","3152.524375","false","1","4","608","342","1084","0","27.485791","76.618208","31.635281",
"1765426757259","2025-12-11T04:19:17.259Z","45.982759","3152.524375","false","1","4","608","342","1108","0","27.485791","76.618208","30.635448999999994",
"1765426758259","2025-12-11T04:19:18.259Z","46.983359","3152.524375","false","1","4","608","342","1132","0","34.993291","77.695999","30.71264",
"1765426759258","2025-12-11T04:19:19.258Z","47.982315","3152.524375","false","1","4","608","342","1156","0","34.993291","79.662916","31.680600999999996",
"1765426760259","2025-12-11T04:19:20.259Z","48.982891","3152.524375","false","1","4","608","342","1180","0","34.993291","79.662916","30.680024999999993",
"1765426761259","2025-12-11T04:19:21.259Z","49.982802","3152.524375","false","1","4","608","342","1204","0","34.993291","83.285333","33.302530999999995",
"1765426762259","2025-12-11T04:19:22.259Z","50.983124","3152.524375","false","1","4","608","342","1228","0","34.993291","83.285333","32.302209",
"1765426763258","2025-12-11T04:19:23.258Z","51.982122","3152.524375","false","1","4","768","432","1252","0","40.457083","83.285333","31.303210999999997",
"1765426764258","2025-12-11T04:19:24.258Z","52.981966","3152.524375","false","1","4","768","432","1276","0","40.457083","84.709624","31.727658000000005",
"1765426765259","2025-12-11T04:19:25.259Z","53.983203","3152.524375","false","1","4","768","432","1300","0","40.457083","84.709624","30.726421000000002",
"1765426766258","2025-12-11T04:19:26.258Z","54.982582","3152.524375","false","1","4","768","432","1324","0","40.457083","86.044291","31.061709",
"1765426767259","2025-12-11T04:19:27.259Z","55.983085","3152.524375","false","1","4","768","432","1348","0","40.457083","87.722666","31.739581",
"1765426768258","2025-12-11T04:19:28.258Z","56.98246","3152.524375","false","1","4","960","540","1372","0","40.457083","87.722666","30.740206",
"1765426769258","2025-12-11T04:19:29.258Z","57.982663","3152.524375","false","1","4","960","540","1396","0","45.920875","90.423666","32.441002999999995",
"1765426770258","2025-12-11T04:19:30.258Z","58.98253","3152.524375","false","1","4","960","540","1420","0","45.920875","90.423666","31.441136",
"1765426771258","2025-12-11T04:19:31.258Z","59.98267","3152.524375","false","1","4","960","540","1443","0","45.920875","92.629333","32.646663000000004",
"1765426772260","2025-12-11T04:19:32.260Z","60.983704","3152.524375","false","1","4","960","540","1467","0","45.920875","92.629333","31.645629",
"1765426773258","2025-12-11T04:19:33.258Z","61.982459","3152.524375","false","1","4","960","540","1491","0","45.920875","95.804041","33.821582",
"1765426774259","2025-12-11T04:19:34.259Z","62.9831","3152.524375","false","1","4","960","540","1515","0","45.920875","95.804041","32.820941",
